time,id,value
2017/10/19 9:45,3729989,1
2017/10/19 9:55,3179508,1
2017/10/19 9:55,7323746,1
2017/10/19 10:01,8806829,1
2017/10/19 10:03,3693335,2
2017/10/19 10:07,8074222,1
2017/10/19 10:08,1766290,1
2017/10/19 10:10,5278252,1
2017/10/19 10:10,9185438,1
2017/10/19 10:11,7992736,1
2017/10/19 10:12,7938010,1
2017/10/19 10:13,8056840,1
2017/10/19 10:17,1131311,1
2017/10/19 10:19,2053746,1
2017/10/19 10:23,8002182,1
2017/10/19 10:25,169129,1
2017/10/19 10:28,3631293,1
2017/10/19 10:28,8661104,2
2017/10/19 10:30,9238966,1
2017/10/19 10:30,2374774,1
2017/10/19 10:32,151495,1
2017/10/19 10:34,4718007,2
2017/10/19 10:35,5354939,1
2017/10/19 10:35,4884127,1
2017/10/19 10:36,9797191,1
2017/10/19 10:41,2278576,1
2017/10/19 10:48,9811069,2
2017/10/19 10:49,557663,1
2017/10/19 10:53,6396110,1
2017/10/19 10:54,1855703,1
2017/10/19 10:54,7279993,1
2017/10/19 10:56,640846,1
2017/10/19 11:00,1465506,1
2017/10/19 11:03,9732790,1
2017/10/19 11:03,3170328,1
2017/10/19 11:05,9832732,1
2017/10/19 11:07,6973971,1
2017/10/19 11:07,1610401,2
2017/10/19 11:08,2977515,1
2017/10/19 11:09,2895939,1
2017/10/19 11:09,1970129,1
2017/10/19 11:10,3870473,2
2017/10/19 11:13,3200058,1
2017/10/19 11:15,3966480,1
2017/10/19 11:16,4287170,1
2017/10/19 11:18,139393,1
2017/10/19 11:26,4493283,1
2017/10/19 11:28,2262374,1
2017/10/19 11:29,2921957,1
2017/10/19 11:29,4659214,1
2017/10/19 11:33,9391182,2
2017/10/19 11:34,6936779,1
2017/10/19 11:36,5818092,1
2017/10/19 11:36,169129,1
2017/10/19 11:41,4929347,1
2017/10/19 11:43,6061514,1
2017/10/19 11:43,3404253,1
2017/10/19 11:46,5883518,1
2017/10/19 11:51,4026485,2
